WSAID	PLANTID	start	end
1315	80005	1978	2019
1316	80406	1978	2019
1316	80422	1978	2019
1316	80423	1978	2019
1317	79996	1978	2019
1317	79997	1978	2019
1317	79998	1978	2019
1317	79999	1978	2019
1318	80403	1978	2019
1318	80404	1978	2019
1318	80405	1978	2019
1319	80409	1978	2019
1320	80401	1978	2019
1320	80402	1978	2019
1320	80410	1978	2019
1320	80419	1978	2019
1320	80420	1978	2019
1321	80421	1978	2019
1322	80418	1978	2019
1323	80416	1978	2019
1324	80412	1994	2019
1324	80413	1994	2019
1324	80414	1994	2019
1325	80411	1978	2019
1326	80415	1978	2019
1327	80408	1978	2019
1328	80407	1978	2019
1329	70629	1978	2019
1330	71588	1978	2019
1331	71589	1978	2019
1332	70390	1978	2019
1333	70397	1978	2019
1334	70341	1978	2019
1335	70340	2004	2019
1335	70395	2004	2019
1336	70393	1978	2019
1337	71973	1994	2019
1337	72013	1994	2019
1338	70387	1978	2019
1339	70398	1978	2019
1340	70394	1978	2019
1341	70382	2006	2016
1341	70383	2006	2016
1341	70384	2006	2016
1341	70385	2006	2016
